Agent_ID,Target_ID,Sensor_Type,Weight
3,0,camera,0.0
3,1,camera,0.0
3,2,camera,0.0
3,0,manipulator,0.3333333333333333
3,1,manipulator,0.3333333333333333
3,2,manipulator,0.3333333333333333
3,0,smoke_detector,0.0
3,1,smoke_detector,0.0
3,2,smoke_detector,0.0
4,0,camera,0.0
4,1,camera,0.0
4,2,camera,0.0
4,0,manipulator,0.3333333333333333
4,1,manipulator,0.3333333333333333
4,2,manipulator,0.3333333333333333
4,0,smoke_detector,0.0
4,1,smoke_detector,0.0
4,2,smoke_detector,0.0
0,0,camera,0.3333333333333333
0,1,camera,0.3333333333333333
0,2,camera,0.3333333333333333
0,0,manipulator,0.0
0,1,manipulator,0.0
0,2,manipulator,0.0
0,0,smoke_detector,0.0
0,1,smoke_detector,0.0
0,2,smoke_detector,0.0
1,0,camera,0.3333333333333333
1,1,camera,0.3333333333333333
1,2,camera,0.3333333333333333
1,0,manipulator,0.0
1,1,manipulator,0.0
1,2,manipulator,0.0
1,0,smoke_detector,0.0
1,1,smoke_detector,0.0
1,2,smoke_detector,0.0
2,0,camera,0.3333333333333333
2,1,camera,0.3333333333333333
2,2,camera,0.3333333333333333
2,0,manipulator,0.0
2,1,manipulator,0.0
2,2,manipulator,0.0
2,0,smoke_detector,0.0
2,1,smoke_detector,0.0
2,2,smoke_detector,0.0
5,0,camera,0.0
5,1,camera,0.0
5,2,camera,0.0
5,0,manipulator,0.3333333333333333
5,1,manipulator,0.3333333333333333
5,2,manipulator,0.3333333333333333
5,0,smoke_detector,0.0
5,1,smoke_detector,0.0
5,2,smoke_detector,0.0
